,desc,trans,origin,engine,price
0,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
1,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
2,2015 Toyota Camry,automatic,foreign,petrol,5700000
3,2008 Lexus ES 350,automatic,foreign,petrol,3000000
4,2008 Honda CR-V,automatic,foreign,petrol,2800000
5,2005 Volkswagen LT,,foreign,diesel,2500000
6,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
7,2013 Toyota Venza,automatic,foreign,petrol,5000000
8,2010 Toyota Corolla,automatic,foreign,petrol,2700000
9,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
10,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
11,2002 Toyota HiAce,automatic,foreign,petrol,3450000
12,2008 Toyota RAV4,automatic,foreign,petrol,2800000
13,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
14,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
15,2005 Toyota HiAce,,foreign,petrol,3450000
16,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
17,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
18,2012 Toyota Venza,automatic,foreign,petrol,5500000
19,2005 Lexus ES 330,automatic,foreign,petrol,1800000
20,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
21,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
22,2015 Toyota Camry,automatic,foreign,petrol,5700000
23,2008 Lexus ES 350,automatic,foreign,petrol,3000000
24,2008 Honda CR-V,automatic,foreign,petrol,2800000
25,2005 Volkswagen LT,,foreign,diesel,2500000
26,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
27,2013 Toyota Venza,automatic,foreign,petrol,5000000
28,2010 Toyota Corolla,automatic,foreign,petrol,2700000
29,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
30,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
31,2002 Toyota HiAce,automatic,foreign,petrol,3450000
32,2008 Toyota RAV4,automatic,foreign,petrol,2800000
33,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
34,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
35,2005 Toyota HiAce,,foreign,petrol,3450000
36,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
37,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
38,2012 Toyota Venza,automatic,foreign,petrol,5500000
39,2005 Lexus ES 330,automatic,foreign,petrol,1800000
40,2007  Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
41,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
42,2015 Toyota Camry,automatic,foreign,petrol,5700000
43,2008 Lexus ES 350,automatic,foreign,petrol,3000000
44,2008 Honda CR-V,automatic,foreign,petrol,2800000
45,2005 Volkswagen LT,,foreign,diesel,2500000
46,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
47,2013 Toyota Venza,automatic,foreign,petrol,5000000
48,2010 Toyota Corolla,automatic,foreign,petrol,2700000
49,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
50,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
51,2002 Toyota HiAce,automatic,foreign,petrol,3450000
52,2008 Toyota RAV4,automatic,foreign,petrol,2800000
53,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
54,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
55,2005 Toyota HiAce,,foreign,petrol,3450000
56,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
57,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
58,2012 Toyota Venza,automatic,foreign,petrol,5500000
59,2005 Lexus ES 330,automatic,foreign,petrol,1800000
60,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
61,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
62,2015 Toyota Camry,automatic,foreign,petrol,5700000
63,2008 Lexus ES 350,automatic,foreign,petrol,3000000
64,2008 Honda CR-V,automatic,foreign,petrol,2800000
65,2005 Volkswagen LT,,foreign,diesel,2500000
66,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
67,2013 Toyota Venza,automatic,foreign,petrol,5000000
68,2010 Toyota Corolla,automatic,foreign,petrol,2700000
69,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
70,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
71,2002 Toyota HiAce,automatic,foreign,petrol,3450000
72,2008 Toyota RAV4,automatic,foreign,petrol,2800000
73,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
74,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
75,2005 Toyota HiAce,,foreign,petrol,3450000
76,2014  Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
77,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
78,2012 Toyota Venza,automatic,foreign,petrol,5500000
79,2005 Lexus ES 330,automatic,foreign,petrol,1800000
80,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
81,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
82,2015 Toyota Camry,automatic,foreign,petrol,5700000
83,2008 Lexus ES 350,automatic,foreign,petrol,3000000
84,2008 Honda CR-V,automatic,foreign,petrol,2800000
85,2005 Volkswagen LT,,foreign,diesel,2500000
86,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
87,2013 Toyota Venza,automatic,foreign,petrol,5000000
88,2010 Toyota Corolla,automatic,foreign,petrol,2700000
89,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
90,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
91,2002 Toyota HiAce,automatic,foreign,petrol,3450000
92,2008 Toyota RAV4,automatic,foreign,petrol,2800000
93,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
94,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
95,2005 Toyota HiAce,,foreign,petrol,3450000
96,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
97,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
98,2012 Toyota Venza,automatic,foreign,petrol,5500000
99,2005 Lexus ES 330,automatic,foreign,petrol,1800000
100,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
101,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
102,2015 Toyota Camry,automatic,foreign,petrol,5700000
103,2008 Lexus ES 350,automatic,foreign,petrol,3000000
104,2008 Honda CR-V,automatic,foreign,petrol,2800000
105,2005 Volkswagen LT,,foreign,diesel,2500000
106,2011 Toyota Corolla Automatic,automatic,foreign,petrol,3800000
107,2013 Toyota Venza,automatic,foreign,petrol,5000000
108,2010 Toyota Corolla,automatic,foreign,petrol,2700000
109,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
110,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
111,2002 Toyota HiAce,automatic,foreign,petrol,3450000
112,2008 Toyota RAV4,automatic,foreign,petrol,2800000
113,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
114,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
115,2005 Toyota HiAce,,foreign,petrol,3450000
116,2014 Toyota Corolla LE Automatic,automatic,foreign,petrol,4200000
117,2014 Toyota RAV4 4WD,automatic,foreign,petrol,5950000
118,2012 Toyota Venza,automatic,foreign,petrol,5500000
119,2005 Lexus ES 330,automatic,foreign,petrol,1800000
120,2007 Toyota Camry 2.4 SE Automatic,automatic,foreign,petrol,2300000
121,2012 Mercedes-Benz GLK 350,automatic,local,petrol,3850000
122,2015 Toyota Camry,automatic,foreign,petrol,5700000
123,2008 Lexus ES 350,automatic,foreign,petrol,3000000
124,2008 Honda CR-V,automatic,foreign,petrol,2800000
125,2005 Volkswagen LT,,foreign,diesel,2500000
126,2011  Toyota Corolla Automatic,automatic,foreign,petrol,3800000
127,2013 Toyota Venza,automatic,foreign,petrol,5000000
128,2010 Toyota Corolla,automatic,foreign,petrol,2700000
129,2010 Mercedes-Benz E350,automatic,foreign,petrol,5500000
130,2008 Toyota RAV4 Limited,automatic,foreign,petrol,3100000
131,2002 Toyota HiAce,automatic,foreign,petrol,3450000
132,2008 Toyota RAV4,automatic,foreign,petrol,2800000
133,2005 Toyota Avensis Verso,automatic,foreign,petrol,2550000
134,2008 Mercedes-Benz C350,automatic,local,petrol,2250000
135,2005 Toyota HiAce,,foreign,petrol,3450000
